LineItems_category,Item,Action,Spec,Quantity,Rate,Unit
,Kitchen units,,,,,
,,Install,,,,
,,,Island,,140,
,,,Base,,120,
,,,Wall mounted,,90,
,Worktop,,,,,
,,Install,,,,
,,,Laminate,,120,
,,,Stone,,280,
,,,Wood,,180,
,Kitchen sink,,,,,
,,Install,,,,
,,,Ceramic,,140,
,Kitchen taps,,,,,
,,Install,,,,
,,,Single,,50,
,,,Double,,60,
,Cooker hood,,,,,
,,Install,,,,
,,,Vented,,140,
,,,Unvented,,40,
,Dishwasher ,,,,,
,,Install,,,60,
,Freezer ,,,,,
,,Install,,,,
,Hob,,,,,
,,Install,,,,
,,,Gas,,100,
,,,Electric,,90,
,Oven,,,,,
,,Install,,,,
,,,Gas,,120,
,,,Electric,,100,
,Refrigerator,,,,,
,,Install,,,,
,,,Single ,,60,
,,,Integrated,,40,
,Washing machine,,,,,
,,Install ,,,,
,,,Plumbed,,110,
,,,Non-plumbed,,80,
,Bath,,,,,
,,Install,,,,
,,,Metal,,280,
,,,Acrylic,,220,
,Bath taps,,,,,
,,Install,,,,
,,,Single,,60,
,,,Double,,70,
,Bath panel,,,,,
,,Install,,,,
,,,Bespoke,,240,
,,,Package,,90,
,Shower head,,,,,
,,Install,,,,
,,,Integrated,,90,
,,,Non-integrated,,30,
,Shower mixer,,,,,
,,Install,,,,
,,,Integrated,,280,
,,,Non-integrated,,140,
,Shower tray,,,,,
,,Install,,,,
,,,Raised,,240,
,,,Flat,,320,
,Shower enclosure,,,,,
,,Install,,,120,
,Shower curtain,,,,,
,,Install,,,80,
,Bathroom sink,,,,,
,,Install,,,120,
,Sink taps,,,,,
,,Install,,,,
,,,Single mixer,,60,
,,,Double mixer,,70,
,Toilet,,,,,
,,Install,,,,
,,,Standard,,140,
,,,Close coupled,,180,
,Vanity unit,,,,,
,,Install,,,,
,Mirror,,,,,
,,Install,,,,
,,,,,,
Hard Landscaping,,,,,,
,Concrete paving,,,,,
,,Install,,,,
,Asphalt concrete paving,,,,,
,,Install,,,,
,Hard binding gravel paving,,,,,
,,Install,,,,
,Interlocking units paving,,,,,
,,Install,,,,
,,,Clay,,40,
,,,Concrete,,35,
,Hard binding gravel paving,,,,,
,,Install,,,,
