Task_search_display_name,Task_quote_dispaly_name,Task_group,Task_category,Task_default_description,Default quanity,task_default_unit,Task_searchable,Task_rate,Dermot,Sandel
,,,,,,,,,,
Tile wall - Stone,Tile wall - Stone,Tile wall,Decorating,,1,m2,Yes,45,,
Tile wall - Ceramic,Tile wall - Ceramic,Tile wall,Decorating,,1,m2,Yes,35,,
Tile wall - Mosaic,Tile wall - Mosaic,Tile wall,Decorating,,1,m2,Yes,55,,
Tile wall,Tile wall,Tile wall,Decorating,,1,m2,Yes,50,,
,,,,,,,,,,
Install radiator,Install radiator,,Plumbing,,1,,Yes,180,,
,,,,,,,,,,
Install toilet,Install toilet,,Plumbing,,1,,Yes,120,,
Install bidet toilet,Install bidet toilet,,Plumbing,,1,,Yes,120,,
Install ouside tap,Install ouside tap,,Plumbing,,1,,Yes,50,,
,,,,,,,,,,
Sand floor,Sand floor,,Flooring,,1,m2,Yes,20,,
Varnish floor,Varnish floor,,Flooring,,1,m2,Yes,15,,
Screed floor,Screed floor,,Flooring,,1,m2,Yes,20,,
,,,,,,,,,,
Install chandelier ,Install chandelier ,,Electrics,,1,,Yes,200,,
Classic bell,Classic bell,,Electrics,,1,,Yes,60,,
Intercom,Intercom,,Electrics,,1,,Yes,120,,
Fuseboard,Fuseboard,,Electrics,,1,,Yes,270,,
,,,,,,,,,,
Install dishwasher,Install dishwasher,,Plumbing,,1,,Yes,115,,
,,,,,,,,,,
Dig foundations,Dig foundations,,Structural,,1,,Yes,180,,
,,,,,,,,,,
Paint floorboards,Paint floorboards,,Decorating,,1,,Yes,20,,
,,,,,,,,,,
Install staircase,Install staircase,,Carpentry,,1,,Yes,1200,,
Install banister,Install banister,,Carpentry,,1,m,Yes,100,,
Carpet stairs,Carpet stairs,,Flooring,,1,m2,Yes,15,,
Paint stairs,Paint stairs,,Decorating,,1,m2,Yes,20,,
,,,,,,,,,,
Install skirting,Install skirting,,Carpentry,,1,m,Yes,8,,
Install architrave,Install architrave,,Carpentry,,1,m,Yes,15,,
Install coving,Install coving,,Carpentry,,1,m,Yes,15,,
Install picture rail,Install picture rail,,Carpentry,,1,m,Yes,12,,
Install shelving,Install shelving,,Carpentry,,1,,Yes,200,,
,,,,,,,,,,
Strip out kitchen,Strip out kitchen,,Preparation,,1,,Yes,700,,
Strip out bathroom,Strip out bathroom,,Preparation,,1,,Yes,700,,
Strip out room,Strip out room,,Preparation,,1,,Yes,500,,
,,,,,,,,,,
Build flat roof,Build flat roof,,Structural,,1,,Yes,2000,,
Build pitched roof,Build pitched roof,,Structural,,1,,Yes,2500,,
Lay patio tiles,Lay patio tiles,,Flooring,,1,m2,Yes,80,,
Roof lights ,Roof lights ,,Structural,,1,,Yes,600,,
,,,,,,,,,,
Render wall,Render wall,,Plastering,,1,m2,Yes,25,,
,,,,,,,,,,
Remove brick wall,Remove brick wall,,Structural,,1,m2,Yes,40,,
Remove partition wall,Remove partition wall,,Preparation,,1,m2,Yes,25,,
,,,,,,,,,,
Install bespoke shelves,Install bespoke shelves,Bespoke carpentry,Bespoke carpentry,See drawings,1,,Yes,500,,
Install bespoke bookcase,Install bespoke bookcase,Bespoke carpentry,Bespoke carpentry,See drawings,1,,Yes,500,,
Install bespoke cupboard,Install bespoke cupboard,Bespoke carpentry,Bespoke carpentry,See drawings,1,,Yes,800,,
Install bespoke wardrobe,Install bespoke wardrobe,Bespoke carpentry,Bespoke carpentry,See drawings,1,,Yes,1200,,
Install bespoke kitchen,Install bespoke kitchen,Bespoke carpentry,Bespoke carpentry,See drawings,1,,Yes,3500,,
